SystemTime_ISO,MsgType,FC_Time_us,alt,hdg,lat,lon,mavpackettype,relative_alt,vx,vy,vz
2025-12-14 23:49:54.965,GLOBAL_POSITION_INT,103800,0,9665,0,0,GLOBAL_POSITION_INT,-2305,0,3,0
2025-12-14 23:49:55.065,GLOBAL_POSITION_INT,103900,0,9667,0,0,GLOBAL_POSITION_INT,-2453,0,3,0
2025-12-14 23:49:55.165,GLOBAL_POSITION_INT,104000,0,9668,0,0,GLOBAL_POSITION_INT,-2398,0,2,0
2025-12-14 23:49:55.265,GLOBAL_POSITION_INT,104100,0,9669,0,0,GLOBAL_POSITION_INT,-2393,0,2,0
2025-12-14 23:49:55.365,GLOBAL_POSITION_INT,104200,0,9670,0,0,GLOBAL_POSITION_INT,-2558,0,2,0
2025-12-14 23:49:55.465,GLOBAL_POSITION_INT,104300,0,9672,0,0,GLOBAL_POSITION_INT,-2508,0,2,0
2025-12-14 23:49:55.565,GLOBAL_POSITION_INT,104400,0,9674,0,0,GLOBAL_POSITION_INT,-2382,0,2,0
2025-12-14 23:49:55.665,GLOBAL_POSITION_INT,104500,0,9674,0,0,GLOBAL_POSITION_INT,-2404,0,2,0
2025-12-14 23:49:55.765,GLOBAL_POSITION_INT,104600,0,9675,0,0,GLOBAL_POSITION_INT,-2486,0,2,0
2025-12-14 23:49:55.865,GLOBAL_POSITION_INT,104700,0,9676,0,0,GLOBAL_POSITION_INT,-2349,0,2,0
2025-12-14 23:49:55.965,GLOBAL_POSITION_INT,104800,0,9678,0,0,GLOBAL_POSITION_INT,-2453,0,2,0
2025-12-14 23:49:56.065,GLOBAL_POSITION_INT,104900,0,9679,0,0,GLOBAL_POSITION_INT,-2437,0,2,0
2025-12-14 23:49:56.165,GLOBAL_POSITION_INT,105000,0,9682,0,0,GLOBAL_POSITION_INT,-2519,0,2,0
2025-12-14 23:49:56.265,GLOBAL_POSITION_INT,105100,0,9684,0,0,GLOBAL_POSITION_INT,-2310,0,2,0
2025-12-14 23:49:56.365,GLOBAL_POSITION_INT,105200,0,9687,0,0,GLOBAL_POSITION_INT,-2437,0,2,0
2025-12-14 23:49:56.465,GLOBAL_POSITION_INT,105300,0,9689,0,0,GLOBAL_POSITION_INT,-2470,0,2,0
2025-12-14 23:49:56.565,GLOBAL_POSITION_INT,105400,0,9690,0,0,GLOBAL_POSITION_INT,-2327,0,2,0
2025-12-14 23:49:56.665,GLOBAL_POSITION_INT,105500,0,9691,0,0,GLOBAL_POSITION_INT,-2420,0,2,0
2025-12-14 23:49:56.765,GLOBAL_POSITION_INT,105600,0,9693,0,0,GLOBAL_POSITION_INT,-2481,0,2,0
2025-12-14 23:49:56.865,GLOBAL_POSITION_INT,105700,0,9695,0,0,GLOBAL_POSITION_INT,-2393,0,2,0
2025-12-14 23:49:56.965,GLOBAL_POSITION_INT,105800,0,9697,0,0,GLOBAL_POSITION_INT,-2486,0,2,0
2025-12-14 23:49:57.065,GLOBAL_POSITION_INT,105900,0,9699,0,0,GLOBAL_POSITION_INT,-2349,0,2,0
2025-12-14 23:49:57.165,GLOBAL_POSITION_INT,106000,0,9701,0,0,GLOBAL_POSITION_INT,-2618,0,2,0
2025-12-14 23:49:57.264,GLOBAL_POSITION_INT,106100,0,9703,0,0,GLOBAL_POSITION_INT,-2409,0,2,0
2025-12-14 23:49:57.365,GLOBAL_POSITION_INT,106200,0,9704,0,0,GLOBAL_POSITION_INT,-2470,0,2,0
2025-12-14 23:49:57.464,GLOBAL_POSITION_INT,106300,0,9706,0,0,GLOBAL_POSITION_INT,-2552,0,2,0
2025-12-14 23:49:57.565,GLOBAL_POSITION_INT,106400,0,9708,0,0,GLOBAL_POSITION_INT,-2442,0,2,0
2025-12-14 23:49:57.664,GLOBAL_POSITION_INT,106500,0,9710,0,0,GLOBAL_POSITION_INT,-2508,0,2,0
2025-12-14 23:49:57.764,GLOBAL_POSITION_INT,106600,0,9712,0,0,GLOBAL_POSITION_INT,-2453,0,2,0
2025-12-14 23:49:57.864,GLOBAL_POSITION_INT,106700,0,9715,0,0,GLOBAL_POSITION_INT,-2580,0,2,0
2025-12-14 23:49:57.965,GLOBAL_POSITION_INT,106800,0,9716,0,0,GLOBAL_POSITION_INT,-2585,0,2,0
2025-12-14 23:49:58.065,GLOBAL_POSITION_INT,106900,0,9718,0,0,GLOBAL_POSITION_INT,-2393,0,2,0
2025-12-14 23:49:58.165,GLOBAL_POSITION_INT,107000,0,9719,0,0,GLOBAL_POSITION_INT,-2415,0,2,0
2025-12-14 23:49:58.265,GLOBAL_POSITION_INT,107100,0,9721,0,0,GLOBAL_POSITION_INT,-2541,0,2,0
2025-12-14 23:49:58.365,GLOBAL_POSITION_INT,107200,0,9722,0,0,GLOBAL_POSITION_INT,-2459,0,2,0
2025-12-14 23:49:58.465,GLOBAL_POSITION_INT,107300,0,9723,0,0,GLOBAL_POSITION_INT,-2574,0,2,0
2025-12-14 23:49:58.565,GLOBAL_POSITION_INT,107400,0,9725,0,0,GLOBAL_POSITION_INT,-2415,0,2,0
2025-12-14 23:49:58.665,GLOBAL_POSITION_INT,107500,0,9726,0,0,GLOBAL_POSITION_INT,-2492,0,2,0
2025-12-14 23:49:58.765,GLOBAL_POSITION_INT,107600,0,9728,0,0,GLOBAL_POSITION_INT,-2354,0,2,0
2025-12-14 23:49:58.864,GLOBAL_POSITION_INT,107700,0,9728,0,0,GLOBAL_POSITION_INT,-2239,0,2,0
2025-12-14 23:49:58.964,GLOBAL_POSITION_INT,107800,0,9729,0,0,GLOBAL_POSITION_INT,-2514,0,2,0
2025-12-14 23:49:59.064,GLOBAL_POSITION_INT,107900,0,9730,0,0,GLOBAL_POSITION_INT,-2343,0,2,0
2025-12-14 23:49:59.164,GLOBAL_POSITION_INT,108000,0,9732,0,0,GLOBAL_POSITION_INT,-2470,0,2,0
2025-12-14 23:49:59.264,GLOBAL_POSITION_INT,108100,0,9733,0,0,GLOBAL_POSITION_INT,-2591,0,2,0
2025-12-14 23:49:59.364,GLOBAL_POSITION_INT,108200,0,9735,0,0,GLOBAL_POSITION_INT,-2178,0,2,0
2025-12-14 23:49:59.464,GLOBAL_POSITION_INT,108300,0,9737,0,0,GLOBAL_POSITION_INT,-2497,0,2,-1
2025-12-14 23:49:59.564,GLOBAL_POSITION_INT,108400,0,9740,0,0,GLOBAL_POSITION_INT,-2448,0,2,-1
2025-12-14 23:49:59.664,GLOBAL_POSITION_INT,108500,0,9742,0,0,GLOBAL_POSITION_INT,-2519,0,2,-1
2025-12-14 23:49:59.764,GLOBAL_POSITION_INT,108600,0,9743,0,0,GLOBAL_POSITION_INT,-2701,0,2,-1
2025-12-14 23:49:59.864,GLOBAL_POSITION_INT,108700,0,9744,0,0,GLOBAL_POSITION_INT,-2541,0,2,-1
2025-12-14 23:49:59.964,GLOBAL_POSITION_INT,108800,0,9745,0,0,GLOBAL_POSITION_INT,-2420,0,2,-1
2025-12-14 23:50:00.064,GLOBAL_POSITION_INT,108900,0,9746,0,0,GLOBAL_POSITION_INT,-2497,0,2,-1
2025-12-14 23:50:00.164,GLOBAL_POSITION_INT,109000,0,9748,0,0,GLOBAL_POSITION_INT,-2673,0,2,-1
2025-12-14 23:50:00.264,GLOBAL_POSITION_INT,109100,0,9750,0,0,GLOBAL_POSITION_INT,-2481,0,2,-1
2025-12-14 23:50:00.364,GLOBAL_POSITION_INT,109200,0,9752,0,0,GLOBAL_POSITION_INT,-2404,0,2,0
2025-12-14 23:50:00.464,GLOBAL_POSITION_INT,109300,0,9754,0,0,GLOBAL_POSITION_INT,-2266,0,2,-1
2025-12-14 23:50:00.564,GLOBAL_POSITION_INT,109400,0,9756,0,0,GLOBAL_POSITION_INT,-2514,0,2,-1
2025-12-14 23:50:00.664,GLOBAL_POSITION_INT,109500,0,9758,0,0,GLOBAL_POSITION_INT,-2536,0,2,-1
2025-12-14 23:50:00.764,GLOBAL_POSITION_INT,109600,0,9759,0,0,GLOBAL_POSITION_INT,-2228,0,2,-1
2025-12-14 23:50:00.864,GLOBAL_POSITION_INT,109700,0,9761,0,0,GLOBAL_POSITION_INT,-2332,0,2,-1
2025-12-14 23:50:00.964,GLOBAL_POSITION_INT,109800,0,9762,0,0,GLOBAL_POSITION_INT,-2365,0,2,-1
2025-12-14 23:50:01.064,GLOBAL_POSITION_INT,109900,0,9763,0,0,GLOBAL_POSITION_INT,-2459,0,2,-1
2025-12-14 23:50:01.164,GLOBAL_POSITION_INT,110000,0,9765,0,0,GLOBAL_POSITION_INT,-2569,0,2,-1
2025-12-14 23:50:01.264,GLOBAL_POSITION_INT,110100,0,9767,0,0,GLOBAL_POSITION_INT,-2541,0,2,-1
2025-12-14 23:50:01.364,GLOBAL_POSITION_INT,110200,0,9769,0,0,GLOBAL_POSITION_INT,-2536,0,2,-1
2025-12-14 23:50:01.464,GLOBAL_POSITION_INT,110300,0,9770,0,0,GLOBAL_POSITION_INT,-2409,0,2,-1
2025-12-14 23:50:01.564,GLOBAL_POSITION_INT,110400,0,9772,0,0,GLOBAL_POSITION_INT,-2277,0,2,-1
2025-12-14 23:50:01.664,GLOBAL_POSITION_INT,110500,0,9774,0,0,GLOBAL_POSITION_INT,-2563,0,2,-1
2025-12-14 23:50:01.764,GLOBAL_POSITION_INT,110600,0,9776,0,0,GLOBAL_POSITION_INT,-2310,0,2,-1
2025-12-14 23:50:01.864,GLOBAL_POSITION_INT,110700,0,9777,0,0,GLOBAL_POSITION_INT,-2453,0,2,-1
2025-12-14 23:50:01.964,GLOBAL_POSITION_INT,110800,0,9779,0,0,GLOBAL_POSITION_INT,-2475,0,2,-1
2025-12-14 23:50:02.064,GLOBAL_POSITION_INT,110900,0,9780,0,0,GLOBAL_POSITION_INT,-2393,0,2,-1
2025-12-14 23:50:02.164,GLOBAL_POSITION_INT,111000,0,9782,0,0,GLOBAL_POSITION_INT,-2481,0,2,-1
