12-15-2025 13:04:19 RAM 572/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1906,0%@1907,0%@1906,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@30.5C thermal@29.45C AO@29C GPU@28.5C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3328mW VDD_CPU_GPU_CV 372mW/397mW VDD_SOC 1323mW/1325mW
12-15-2025 13:04:20 RAM 572/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,0%@1906,0%@1907,0%@1900,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.45C AO@29C GPU@28.5C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3328mW VDD_CPU_GPU_CV 372mW/396mW VDD_SOC 1320mW/1324mW
12-15-2025 13:04:21 RAM 572/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [1%@1906,0%@1906,0%@1907,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.3C AO@29C GPU@28.5C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3327mW VDD_CPU_GPU_CV 372mW/395mW VDD_SOC 1323mW/1324mW
12-15-2025 13:04:22 RAM 572/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1906,0%@1907,0%@1905,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.65C AO@29C GPU@28.5C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3327mW VDD_CPU_GPU_CV 372mW/395mW VDD_SOC 1323mW/1324mW
12-15-2025 13:04:23 RAM 572/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,0%@1907,0%@1900,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@30.5C thermal@29.5C AO@29C GPU@29C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3326mW VDD_CPU_GPU_CV 372mW/395mW VDD_SOC 1320mW/1324mW
12-15-2025 13:04:24 RAM 572/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1901,0%@1907,0%@1907,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.65C AO@29C GPU@28.5C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3326mW VDD_CPU_GPU_CV 372mW/394mW VDD_SOC 1323mW/1324mW
12-15-2025 13:04:25 RAM 572/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1906,0%@1906,0%@1904,0%@1904,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29C CPU@30.5C thermal@29.5C AO@29C GPU@28.5C iwlwifi@32C PMIC@50C VDD_IN 3266mW/3325mW VDD_CPU_GPU_CV 372mW/394mW VDD_SOC 1320mW/1324mW
12-15-2025 13:04:26 RAM 572/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,0%@1906,0%@1907,0%@1908,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@30.5C thermal@29.45C AO@29C GPU@29C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3324mW VDD_CPU_GPU_CV 372mW/393mW VDD_SOC 1320mW/1324mW
12-15-2025 13:04:27 RAM 572/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [1%@1908,0%@1907,0%@1907,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29C CPU@30.5C thermal@29.3C AO@29C GPU@28.5C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3324mW VDD_CPU_GPU_CV 372mW/393mW VDD_SOC 1320mW/1324mW
12-15-2025 13:04:28 RAM 572/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,0%@1906,0%@1907,0%@1901,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29C CPU@30.5C thermal@29.3C AO@29C GPU@28.5C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3324mW VDD_CPU_GPU_CV 372mW/392mW VDD_SOC 1323mW/1324mW
