SystemTime_ISO,MsgType,FC_Time_us,body_pitch_rate,body_roll_rate,body_yaw_rate,mavpackettype,q,thrust,type_mask
2025-12-15 01:43:36.659,ATTITUDE_TARGET,4182642,-3.167541217408143e-05,3.4737160603981465e-05,-1.6504708710840532e-10,ATTITUDE_TARGET,"[0.6554022431373596, -3.50179630004277e-06, -4.107110669337999e-07, 0.755280077457428]",0.0,0
2025-12-15 01:43:36.759,ATTITUDE_TARGET,4182742,-3.167541217408143e-05,3.473716424196027e-05,-1.6504710098619313e-10,ATTITUDE_TARGET,"[0.6553900837898254, -3.5017899335798575e-06, -4.107675408704381e-07, 0.7552906274795532]",0.0,0
2025-12-15 01:43:36.859,ATTITUDE_TARGET,4182842,-3.167541581206024e-05,3.473715696600266e-05,-1.6504708710840532e-10,ATTITUDE_TARGET,"[0.6553928852081299, -3.5017915251955856e-06, -4.107540689801681e-07, 0.7552881240844727]",0.0,0
2025-12-15 01:43:36.959,ATTITUDE_TARGET,4182942,-3.1675419450039044e-05,3.4737160603981465e-05,-1.6504712874176874e-10,ATTITUDE_TARGET,"[0.655377209186554, -3.5017833397432696e-06, -4.108266011826345e-07, 0.7553017139434814]",0.0,0
2025-12-15 01:43:37.059,ATTITUDE_TARGET,4183042,-3.167542308801785e-05,3.473716424196027e-05,-1.6504715649734436e-10,ATTITUDE_TARGET,"[0.6553345322608948, -3.5017601476283744e-06, -4.11024871027621e-07, 0.7553388476371765]",0.0,0
2025-12-15 01:43:37.159,ATTITUDE_TARGET,4183142,-3.167542672599666e-05,3.4737171517917886e-05,-1.650472258862834e-10,ATTITUDE_TARGET,"[0.6552976965904236, -3.501741048239637e-06, -4.1119582760984486e-07, 0.7553707361221313]",0.0,0
2025-12-15 01:43:37.259,ATTITUDE_TARGET,4183242,-3.167542308801785e-05,3.4737175155896693e-05,-1.650472120084956e-10,ATTITUDE_TARGET,"[0.6552849411964417, -3.5017339996556984e-06, -4.112553142476827e-07, 0.7553818225860596]",0.0,0
2025-12-15 01:43:37.359,ATTITUDE_TARGET,4183342,-3.1675430363975465e-05,3.473718970781192e-05,-1.6504730915301025e-10,ATTITUDE_TARGET,"[0.6552950739860535, -3.501740366118611e-06, -4.112085605356697e-07, 0.7553730607032776]",0.0,0
2025-12-15 01:43:37.459,ATTITUDE_TARGET,4183442,-3.1675419450039044e-05,3.473718970781192e-05,-1.6504725364185902e-10,ATTITUDE_TARGET,"[0.6552926898002625, -3.5017385471292073e-06, -4.11220071327989e-07, 0.7553750872612]",0.0,0
2025-12-15 01:43:37.559,ATTITUDE_TARGET,4183544,-3.167542308801785e-05,3.473718970781192e-05,-1.6504726751964682e-10,ATTITUDE_TARGET,"[0.65526282787323, -3.501722403598251e-06, -4.1135845663120563e-07, 0.7554010152816772]",0.0,0
2025-12-15 01:43:37.659,ATTITUDE_TARGET,4183644,-3.167542308801785e-05,3.473718970781192e-05,-1.6504726751964682e-10,ATTITUDE_TARGET,"[0.655266523361206, -3.5017242225876544e-06, -4.113415172923851e-07, 0.7553979158401489]",0.0,0
2025-12-15 01:43:37.759,ATTITUDE_TARGET,4183744,-3.1675419450039044e-05,3.473718243185431e-05,-1.650472258862834e-10,ATTITUDE_TARGET,"[0.6553045511245728, -3.5017446862184443e-06, -4.11164933211694e-07, 0.7553648352622986]",0.0,0
2025-12-15 01:43:37.859,ATTITUDE_TARGET,4183842,-3.167542672599666e-05,3.47371787938755e-05,-1.6504725364185902e-10,ATTITUDE_TARGET,"[0.6553663611412048, -3.5017787922697607e-06, -4.1087761815106205e-07, 0.755311131477356]",0.0,0
2025-12-15 01:43:37.959,ATTITUDE_TARGET,4183942,-3.167542672599666e-05,3.47371787938755e-05,-1.6504725364185902e-10,ATTITUDE_TARGET,"[0.6553572416305542, -3.50177333530155e-06, -4.109203644020454e-07, 0.7553191781044006]",0.0,0
2025-12-15 01:43:38.059,ATTITUDE_TARGET,4184044,-3.167541581206024e-05,3.473718243185431e-05,-1.650472120084956e-10,ATTITUDE_TARGET,"[0.655298113822937, -3.5017408208659617e-06, -4.111949465368525e-07, 0.7553704977035522]",0.0,0
2025-12-15 01:43:38.160,ATTITUDE_TARGET,4184142,-3.167542308801785e-05,3.47371787938755e-05,-1.650472258862834e-10,ATTITUDE_TARGET,"[0.6552821397781372, -3.5017324080399703e-06, -4.1126835981231125e-07, 0.7553843259811401]",0.0,0
2025-12-15 01:43:38.260,ATTITUDE_TARGET,4184242,-3.1675419450039044e-05,3.47371787938755e-05,-1.650472120084956e-10,ATTITUDE_TARGET,"[0.6553168892860413, -3.501751280055032e-06, -4.1110746451522573e-07, 0.755354106426239]",0.0,0
2025-12-15 01:43:38.359,ATTITUDE_TARGET,4184342,-3.167541581206024e-05,3.473718243185431e-05,-1.650472120084956e-10,ATTITUDE_TARGET,"[0.6553888916969299, -3.5017903883272083e-06, -4.1077413470702595e-07, 0.7552916407585144]",0.0,0
2025-12-15 01:43:38.459,ATTITUDE_TARGET,4184442,-3.167541217408143e-05,3.4737186069833115e-05,-1.6504719813070778e-10,ATTITUDE_TARGET,"[0.6554228067398071, -3.5018088055949192e-06, -4.1061719002755126e-07, 0.7552621960639954]",0.0,0
2025-12-15 01:43:38.559,ATTITUDE_TARGET,4184542,-3.167541217408143e-05,3.473718243185431e-05,-1.6504718425291998e-10,ATTITUDE_TARGET,"[0.6554245948791504, -3.501809715089621e-06, -4.106086350930127e-07, 0.7552605867385864]",0.0,0
2025-12-15 01:43:38.659,ATTITUDE_TARGET,4184642,-3.1675404898123816e-05,3.473718970781192e-05,-1.6504718425291998e-10,ATTITUDE_TARGET,"[0.6553941369056702, -3.5017928894376382e-06, -4.1075068679674587e-07, 0.7552871108055115]",0.0,0
2025-12-15 01:43:38.759,ATTITUDE_TARGET,4184742,-3.1675393984187394e-05,3.4737171517917886e-05,-1.650470454750419e-10,ATTITUDE_TARGET,"[0.6553614735603333, -3.5017740174225764e-06, -4.109016060738213e-07, 0.755315363407135]",0.0,0
2025-12-15 01:43:38.859,ATTITUDE_TARGET,4184842,-3.167540126014501e-05,3.4737175155896693e-05,-1.6504710098619313e-10,ATTITUDE_TARGET,"[0.6553469896316528, -3.501766514091287e-06, -4.109685391995299e-07, 0.7553279995918274]",0.0,0
2025-12-15 01:43:38.959,ATTITUDE_TARGET,4184942,-3.167541217408143e-05,3.473718243185431e-05,-1.6504718425291998e-10,ATTITUDE_TARGET,"[0.6553263664245605, -3.501755827528541e-06, -4.110644340471481e-07, 0.7553460001945496]",0.0,0
2025-12-15 01:43:39.059,ATTITUDE_TARGET,4185044,-3.167540126014501e-05,3.473716787993908e-05,-1.650470593528297e-10,ATTITUDE_TARGET,"[0.6552994251251221, -3.50173991137126e-06, -4.111887506041967e-07, 0.7553693056106567]",0.0,0
2025-12-15 01:43:39.160,ATTITUDE_TARGET,4185144,-3.16753976221662e-05,3.4737160603981465e-05,-1.6504701771946628e-10,ATTITUDE_TARGET,"[0.6552997827529907, -3.50173991137126e-06, -4.11186789506246e-07, 0.7553688883781433]",0.0,0
2025-12-15 01:43:39.259,ATTITUDE_TARGET,4185244,-3.1675404898123816e-05,3.473715696600266e-05,-1.650470315972541e-10,ATTITUDE_TARGET,"[0.6553131937980652, -3.5017474147025496e-06, -4.1112411963695195e-07, 0.7553573250770569]",0.0,0
2025-12-15 01:43:39.359,ATTITUDE_TARGET,4185342,-3.167541217408143e-05,3.4737149690045044e-05,-1.650470315972541e-10,ATTITUDE_TARGET,"[0.6553167700767517, -3.5017490063182777e-06, -4.1110692450274655e-07, 0.7553542852401733]",0.0,0
2025-12-15 01:43:39.460,ATTITUDE_TARGET,4185442,-3.167540853610262e-05,3.473715332802385e-05,-1.650470315972541e-10,ATTITUDE_TARGET,"[0.6553244590759277, -3.5017530990444357e-06, -4.1107159631792456e-07, 0.7553476095199585]",0.0,0
